participant_id,group,age_round,GI_improve,concentration_post,active_days
1,crosswords,51,-5.992334319,1,56
2,lumosity,24,9.030538698,3,54
3,crosswords,19,-15.03091675,5,6
4,crosswords,21,-9.265834334,2,21
5,lumosity,31,3.189869447,4,43
6,crosswords,25,-10.05776085,1,15
7,lumosity,45,5.436882226,4,0
8,crosswords,27,24.52555752,5,40
9,crosswords,40,-6.722538592,5,39
10,lumosity,50,27.11137501,4,69
11,lumosity,46,18.27659608,4,64
12,lumosity,52,2.786069949,4,32
13,lumosity,21,9.300501676,5,21
14,lumosity,45,5.363107686,4,46
15,lumosity,31,-14.90291435,4,34
16,crosswords,32,2.959098051,2,38
17,lumosity,43,-4.566965738,4,50
18,crosswords,71,5.628147653,3,63
19,crosswords,26,-1.827866339,4,55
20,lumosity,66,-5.907944195,5,35
21,lumosity,54,-1.782169775,2,3
22,lumosity,63,-3.130547998,2,46
23,lumosity,63,2.385866213,4,65
24,lumosity,41,-20.99162553,4,62
25,lumosity,63,10.15358963,4,56
26,crosswords,74,2.85478961,4,54
27,lumosity,21,3.010113825,3,69
28,crosswords,27,-13.45168767,5,26
29,crosswords,63,16.18683912,4,0
30,lumosity,64,12.17901337,5,20
31,lumosity,39,-0.961610346,4,43
32,crosswords,20,2.549717012,3,5
33,crosswords,33,-11.94344856,3,50
34,crosswords,23,2.373802213,4,0
35,lumosity,27,5.966141795,3,59
36,lumosity,19,9.499770513,4,17
37,crosswords,27,-6.591845087,3,29
38,lumosity,39,0.616191156,2,11
39,crosswords,21,7.570200777,2,62
40,lumosity,51,7.934201482,4,35
41,lumosity,55,17.55368757,5,44
42,lumosity,30,-12.85040481,4,51
43,crosswords,21,21.91368558,4,66
44,lumosity,29,10.07006678,3,35
45,lumosity,29,-0.508863829,4,62
46,crosswords,37,-3.677702754,4,58
47,crosswords,19,4.597918474,2,32
48,crosswords,38,-6.333835768,3,39
49,crosswords,42,9.632505112,1,51
50,crosswords,32,-7.866659366,2,2
51,lumosity,44,0.823867912,4,50
52,lumosity,59,0.924596063,4,65
53,lumosity,22,5.562459835,5,26
54,crosswords,51,11.5460754,4,59
55,crosswords,43,-7.344250284,2,68
56,crosswords,39,-0.777206852,4,45
57,lumosity,33,11.16656686,4,65
58,crosswords,20,10.50259382,2,35
59,crosswords,42,4.469754299,4,50
60,lumosity,26,10.68280252,2,39
61,lumosity,59,-14.89281906,4,55
62,lumosity,32,27.22332209,4,57
63,lumosity,28,14.74540136,NA,58
64,lumosity,42,8.438761455,4,58
65,crosswords,26,6.358342924,3,28
66,crosswords,24,1.843530028,4,31
67,crosswords,25,4.910426964,4,70
68,lumosity,32,14.46051213,4,49
69,crosswords,25,-4.62009453,4,3
70,lumosity,55,-10.75401718,4,65
71,crosswords,25,5.748423025,3,63
72,lumosity,58,7.217979929,2,59
73,crosswords,30,-3.171925608,4,49
74,lumosity,35,13.03331607,5,31
75,lumosity,30,23.88691151,5,54
76,lumosity,52,20.63291506,5,68
77,lumosity,52,2.738872653,4,51
78,lumosity,24,0.762699711,5,67
79,crosswords,56,-10.60643272,3,65
80,lumosity,36,-3.228774013,2,46
81,crosswords,19,26.89910801,4,21
82,lumosity,68,15.47145256,4,30
83,crosswords,20,-5.182352494,4,44
84,crosswords,32,3.730391904,5,46
85,lumosity,40,15.76947194,4,50
86,lumosity,32,2.31717575,5,48
87,crosswords,37,11.026172,4,64
88,lumosity,74,-13.18956646,3,23
89,crosswords,29,-1.659880498,3,14
90,lumosity,22,-3.623076899,5,57
91,crosswords,22,7.898089404,4,62
92,lumosity,42,-13.49908315,4,64
93,lumosity,47,3.914047676,2,46
94,crosswords,22,9.373916809,3,0
95,lumosity,31,8.894343042,3,46
96,crosswords,22,12.22431317,3,57
97,lumosity,33,12.46867486,4,38
98,lumosity,65,-17.7891001,3,25
99,lumosity,32,11.0075949,5,59
100,lumosity,73,10.58223611,4,52
101,lumosity,38,9.889030513,4,14
102,lumosity,28,-11.39477664,4,9
103,crosswords,51,5.134243095,4,54
104,lumosity,32,-3.544060158,5,60
105,lumosity,32,-3.507913486,2,29
106,crosswords,52,-0.390270144,5,60
107,crosswords,35,15.76592036,4,45
108,crosswords,50,17.81490424,4,46
109,lumosity,25,7.116504626,4,39
110,lumosity,40,-8.569516518,4,48
111,lumosity,40,-3.662837873,4,49
112,lumosity,24,14.10039647,4,13
113,lumosity,74,8.667437294,4,7
114,lumosity,52,-4.217714253,4,19
115,lumosity,22,14.0466402,4,67
116,crosswords,29,10.09389878,4,62
117,crosswords,26,2.682386198,4,31
118,lumosity,32,11.99682929,4,55
119,lumosity,44,11.87698001,5,67
120,lumosity,67,-8.985213284,4,20
121,lumosity,64,7.661343633,4,37
122,lumosity,39,18.0079183,5,43
123,lumosity,25,4.351997901,5,25
124,lumosity,23,-3.663944244,4,32
125,crosswords,56,0.160972682,2,44
126,crosswords,24,6.242505596,4,51
127,lumosity,54,2.944559804,4,49
128,lumosity,34,3.018085688,4,9
129,lumosity,38,12.67313094,4,61
130,crosswords,24,3.046425588,2,57
131,lumosity,56,12.42258621,4,50
132,lumosity,19,5.493367521,5,65
133,lumosity,61,-4.283362782,4,70
134,crosswords,55,-5.209230767,5,56
135,lumosity,67,6.328684141,4,62
136,crosswords,21,-13.30500887,4,2
137,lumosity,52,22.61255955,4,67
138,crosswords,21,1.330919282,4,30
139,crosswords,22,-2.607005599,4,34
140,lumosity,62,7.485641172,3,66
141,crosswords,58,13.54368787,5,60
142,crosswords,25,-3.529100036,4,50
143,crosswords,28,1.211576712,5,50
144,lumosity,45,-22.85976512,5,37
145,lumosity,50,20.92661471,4,47
146,crosswords,56,-1.573972192,4,61
147,crosswords,65,9.006742866,5,52
148,lumosity,51,19.89855771,4,69
149,crosswords,26,-8.776223751,4,50
150,crosswords,40,3.42734052,4,58
151,crosswords,26,4.751449466,3,16
152,lumosity,27,8.005080928,4,19
153,lumosity,49,4.686242798,4,52
154,lumosity,23,18.3940499,NA,36
155,crosswords,38,6.420009074,4,59
156,lumosity,43,15.50034424,3,62
157,lumosity,23,15.04755391,4,37
158,crosswords,43,2.926103904,4,55
159,lumosity,48,24.12546856,NA,52
160,lumosity,55,14.2539904,4,58
161,lumosity,42,1.960247649,4,60
